"site_name","year","trap_type","data_sources","catch","effort","cpue","latitude","longitude"
"Discovery Bay",2023,"Fukui","WSG",0,3,0,47.9977512,-122.8825095
"Discovery Bay - South",2018,"Fukui","WDFW",0,9,0,47.9927108232323,-122.884251572222
"Discovery Bay - South",2018,"Minnow","WDFW",0,9,0,47.9927108232323,-122.884251572222
"Discovery Bay - South",2019,"Fukui","WDFW",0,55,0,47.9927108232323,-122.884251572222
"Discovery Bay - South",2019,"Minnow","WDFW",0,55,0,47.9927108232323,-122.884251572222
"Discovery Bay - South",2020,"Fukui","WDFW",0,18,0,47.9927108232323,-122.884251572222
"Discovery Bay - South",2020,"Minnow","WDFW",0,20,0,47.9927108232323,-122.884251572222
"Doe Kag Wats",2016,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2017,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2018,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2019,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2020,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2021,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2022,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Doe Kag Wats",2023,"Fukui","WSG",0,4,0,47.7453912,-122.4946491
"Dohman Creek (Willapa NWR)",2022,"Fukui","WSG",0,4,0,46.37158,-124.00029
"Dohman Creek (Willapa NWR)",2023,"Fukui","WSG",0,4,0,46.37158,-124.00029
"Dosewallips",2018,"Fukui","WDFW",0,9,0,47.6891224432667,-122.894097574613
"Dosewallips",2018,"Minnow","WDFW",0,9,0,47.6891224432667,-122.894097574613
"Dosewallips",2022,"Fukui","WDFW",0,30,0,47.6891224432667,-122.894097574613
"Dosewallips",2022,"Minnow","WDFW",0,30,0,47.6891224432667,-122.894097574613
"Dosewallips",2023,"Fukui","WDFW",0,25,0,47.6891224432667,-122.894097574613
"Dosewallips",2023,"Minnow","WDFW",0,26,0,47.6891224432667,-122.894097574613
"Double Cove",2017,"Fukui","WSG",0,4,0,48.5924385,-122.9283147
"Double Cove",2018,"Fukui","WSG",0,4,0,48.5924385,-122.9283147
"Double Cove",2019,"Fukui","WSG",0,4,0,48.5924385,-122.9283147
"Double Cove",2022,"Fukui","WSG",0,3,0,48.5924385,-122.9283147
"Double Cove",2023,"Fukui","WSG",0,3,0,48.5924385,-122.9283147
"Drayton Harbor",2017,"Fukui","WSG",0,3,0,48.9735101368421,-122.749121763158
"Drayton Harbor",2018,"Fukui","WSG",0,4,0,48.9735101368421,-122.749121763158
"Drayton Harbor",2019,"Fukui","WSG",0,4,0,48.9735101368421,-122.749121763158
"Drayton Harbor",2020,"Fukui","NWStraits, WSG",61,542,0.112546125461255,48.9735101368421,-122.749121763158
"Drayton Harbor",2020,"Minnow","NWStraits",32,477,0.0670859538784067,48.9735101368421,-122.749121763158
"Drayton Harbor",2020,"Shrimp","NWStraits",0,0,NA,48.9735101368421,-122.749121763158
"Drayton Harbor",2021,"Fukui","NWStraits, WSG",39,1372,0.0284256559766764,48.9735101368421,-122.749121763158
"Drayton Harbor",2021,"Minnow","NWStraits",4,1372,0.00291545189504373,48.9735101368421,-122.749121763158
"Drayton Harbor",2021,"Shrimp","NWStraits",39,66,0.590909090909091,48.9735101368421,-122.749121763158
"Drayton Harbor",2022,"Fukui","NWStraits, WSG",2,550,0.00363636363636364,48.9735101368421,-122.749121763158
"Drayton Harbor",2022,"Minnow","NWStraits",4,570,0.00701754385964912,48.9735101368421,-122.749121763158
"Drayton Harbor",2022,"Shrimp","NWStraits",99,244,0.405737704918033,48.9735101368421,-122.749121763158
"Drayton Harbor",2023,"Fukui","NWStraits, WSG",5,364,0.0137362637362637,48.9735101368421,-122.749121763158
"Drayton Harbor",2023,"Minnow","NWStraits",7,544,0.0128676470588235,48.9735101368421,-122.749121763158
"Drayton Harbor",2023,"Shrimp","NWStraits",58,195,0.297435897435897,48.9735101368421,-122.749121763158
"Driftwood Key Marina",2024,"Fukui","WDFW",0,5,0,47.9062948511667,-122.587239177778
"Driftwood Key Marina",2024,"Minnow","WDFW",0,5,0,47.9062948511667,-122.587239177778
"Driftwood Key Marina",2024,"Shrimp","WDFW",0,12,0,47.9062948511667,-122.587239177778
"Driftwood Key Marina ",2024,"Shrimp","WDFW",0,2,0,47.906102055,-122.58704395
"Duckabush",2022,"Fukui","WDFW",0,6,0,47.6482087977419,-122.93333376921
"Duckabush",2022,"Minnow","WDFW",0,10,0,47.6482087977419,-122.93333376921
"Duckabush",2024,"Fukui","WDFW",0,25,0,47.6482087977419,-122.93333376921
"Duckabush",2024,"Minnow","WDFW",0,28,0,47.6482087977419,-122.93333376921
"Duckabush",2024,"Shrimp","WDFW",0,4,0,47.6482087977419,-122.93333376921
"Duckland",2021,"Fukui","WDFW",22,30,0.733333333333333,46.8602760255861,-124.084145635786
"Duckland",2021,"Minnow","WDFW",17,34,0.5,46.8602760255861,-124.084145635786
"Duckland",2022,"Fukui","WDFW",195,76,2.56578947368421,46.8602760255861,-124.084145635786
"Duckland",2022,"Minnow","WDFW",88,76,1.15789473684211,46.8602760255861,-124.084145635786
"Duckland",2022,"Shrimp","WDFW",110,16,6.875,46.8602760255861,-124.084145635786
"Duckland",2023,"Fukui","WDFW",105,25,4.2,46.8602760255861,-124.084145635786
"Duckland",2023,"Hand","WDFW",15,14,1.07142857142857,46.8602760255861,-124.084145635786
"Duckland",2023,"Minnow","WDFW",33,26,1.26923076923077,46.8602760255861,-124.084145635786
"Duckland",2023,"Shrimp","WDFW",323,15,21.5333333333333,46.8602760255861,-124.084145635786
"Dungeness Landing",2016,"Fukui","WSG",0,3,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2017,"Fukui","WSG",0,4,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2018,"Fukui","WDFW, WSG",1,33,0.0303030303030303,48.1500852224706,-123.137682196817
"Dungeness Landing",2018,"Minnow","WDFW",0,35,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2019,"Fukui","WSG",0,4,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2020,"Fukui","WSG",0,4,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2021,"Fukui","WSG",0,4,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2022,"Fukui","WSG",0,4,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2023,"Fukui","WSG",0,4,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2024,"Fukui","WDFW",0,7,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2024,"Minnow","WDFW",0,7,0,48.1500852224706,-123.137682196817
"Dungeness Landing",2024,"Shrimp","WDFW",0,1,0,48.1500852224706,-123.137682196817
"Dungeness Landing ",2024,"Fukui","WDFW",0,9,0,48.1508885479167,-123.135993166667
"Dungeness Landing ",2024,"Minnow","WDFW",0,9,0,48.1508885479167,-123.135993166667
"Dungeness Landing ",2024,"Shrimp","WDFW",0,3,0,48.1508885479167,-123.135993166667
"Dungeness Spit Base",2017,"Fukui","DNWR",5,35,0.142857142857143,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2017,"Minnow","DNWR",0,33,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2018,"Fukui","WSG, DNWR",2,46,0.0434782608695652,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2018,"Minnow","DNWR",0,41,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2019,"Fukui","WSG, DNWR",1,36,0.0277777777777778,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2019,"Minnow","DNWR",0,32,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2020,"Fukui","WSG, DNWR",0,28,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2020,"Minnow","DNWR",0,24,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2021,"Fukui","WSG",0,4,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2022,"Fukui","WSG",0,4,0,48.1465899989571,-123.1838452898
"Dungeness Spit Base",2023,"Fukui","WSG",2,4,0.5,48.1465899989571,-123.1838452898
"East",2020,"Fukui","WDFW",0,26,0,48.5938450178571,-122.428351090659
"East",2020,"Minnow","WDFW",0,28,0,48.5938450178571,-122.428351090659
"East Westcott Bay",2018,"Fukui","WDFW",0,5,0,48.595034,-123.144831
"East Westcott Bay",2018,"Minnow","WDFW",0,5,0,48.595034,-123.144831
"Ebey Slough",2021,"Fukui","WDFW",0,42,0,48.0489230383023,-122.194020172878
"Ebey Slough",2021,"Minnow","WDFW",0,46,0,48.0489230383023,-122.194020172878
"Edison River",2020,"Fukui","WDFW",0,6,0,48.5650093452381,-122.442614940476
"Edison River",2020,"Minnow","WDFW",0,7,0,48.5650093452381,-122.442614940476
"Edison Slough",2021,"Fukui","WDFW",0,10,0,48.5644939,-122.454423
"Edison Slough",2021,"Minnow","WDFW",0,10,0,48.5644939,-122.454423
"Edmonds Marina",2023,"Shrimp","WDFW",0,10,0,47.808393019,-122.39115652
"Elger Bay",2016,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2017,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2018,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2019,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2020,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2021,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2022,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Elger Bay",2023,"Fukui","WSG",0,4,0,48.1312959,-122.470491
"Fairmont",2023,"Fukui","WDFW",0,10,0,47.9935755997227,-122.878074829832
"Fairmont",2023,"Minnow","WDFW",0,10,0,47.9935755997227,-122.878074829832
"Fairmont",2023,"Shrimp","WDFW",0,2,0,47.9935755997227,-122.878074829832
"Fairmont",2024,"Fukui","WDFW",2,17,0.117647058823529,47.9935755997227,-122.878074829832
"Fairmont",2024,"Minnow","WDFW",0,17,0,47.9935755997227,-122.878074829832
"Fairmont",2024,"Shrimp","WDFW",5,7,0.714285714285714,47.9935755997227,-122.878074829832
"Fairmount Marsh",2022,"Fukui","WDFW",1,63,0.0158730158730159,47.9937601643625,-122.877435128947
"Fairmount Marsh",2022,"Minnow","WDFW",2,93,0.021505376344086,47.9937601643625,-122.877435128947
"Fairmount Marsh",2022,"Shrimp","WDFW",0,4,0,47.9937601643625,-122.877435128947
"False Bay",2023,"Shrimp","WDFW",0,3,0,48.4905163833333,-123.067462933333
"Fidalgo Bay",2018,"Fukui","WDFW",0,26,0,48.4648923076923,-122.574052435897
"Fidalgo Bay",2018,"Minnow","WDFW",0,26,0,48.4648923076923,-122.574052435897
"Fidalgo Bay",2018,"Shrimp","WDFW",0,2,0,48.4648923076923,-122.574052435897
"Fidalgo Trestle",2017,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fidalgo Trestle",2018,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fidalgo Trestle",2019,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fidalgo Trestle",2020,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fidalgo Trestle",2021,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fidalgo Trestle",2022,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fidalgo Trestle",2023,"Fukui","WSG",0,4,0,48.4778014,-122.5733726
"Fir Island Farms",2019,"Fukui","WDFW",0,56,0,48.3336288242518,-122.41348771111
"Fir Island Farms",2019,"Minnow","WDFW",0,56,0,48.3336288242518,-122.41348771111
"Fir Island Farms",2020,"Fukui","WDFW",0,22,0,48.3336288242518,-122.41348771111
"Fir Island Farms",2020,"Minnow","WDFW",0,23,0,48.3336288242518,-122.41348771111
"Foulweather Bluff",2018,"Fukui","WDFW",0,70,0,47.9323500357143,-122.616927166667
"Foulweather Bluff",2018,"Minnow","WDFW",0,60,0,47.9323500357143,-122.616927166667
"Freshwater Creek",2021,"Fukui","WDFW",26,12,2.16666666666667,46.7268694166667,-123.921325416667
"Freshwater Creek",2021,"Minnow","WDFW",77,14,5.5,46.7268694166667,-123.921325416667
"Giles Slough",2023,"Fukui","WDFW",56,77,0.727272727272727,46.3891146956578,-124.016721415521
"Giles Slough",2023,"Hand","WDFW",5,5,1,46.3891146956578,-124.016721415521
"Giles Slough",2023,"Minnow","WDFW",6,76,0.0789473684210526,46.3891146956578,-124.016721415521
"Giles Slough",2023,"Shrimp","WDFW",215,72,2.98611111111111,46.3891146956578,-124.016721415521
"Giles Slough",2024,"Fukui","WDFW",9,1,9,46.3891146956578,-124.016721415521
"Gorst Creek",2024,"Fukui","WDFW",0,8,0,47.526325490625,-122.691820575
"Gorst Creek",2024,"Minnow","WDFW",0,8,0,47.526325490625,-122.691820575
"Gorst Lagoon",2024,"Fukui","WDFW",0,3,0,47.5315656291667,-122.6919922875
"Gorst Lagoon",2024,"Minnow","WDFW",0,4,0,47.5315656291667,-122.6919922875
"Grassy Slough",2022,"Fukui","WDFW",173,94,1.84042553191489,46.6296357745007,-124.049388391972
"Grassy Slough",2022,"Minnow","WDFW",63,100,0.63,46.6296357745007,-124.049388391972
"Grassy Slough",2022,"Shrimp","WDFW",165,20,8.25,46.6296357745007,-124.049388391972
"Graveyard Spit East (Lagoon)",2017,"Fukui","WSG, DNWR",0,13,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2017,"Minnow","DNWR",0,9,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2018,"Fukui","WSG, DNWR",0,16,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2018,"Minnow","DNWR",0,12,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2019,"Fukui","WSG, DNWR",0,16,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2019,"Minnow","DNWR",0,12,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2020,"Fukui","WSG, DNWR",0,16,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2020,"Minnow","DNWR",0,12,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2021,"Fukui","WSG",0,4,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2022,"Fukui","WSG",0,4,0,48.1765447722593,-123.127938158333
"Graveyard Spit East (Lagoon)",2023,"Fukui","WSG",0,4,0,48.1765447722593,-123.127938158333
"Graveyard Spit West (Channel)",2017,"Burrow","DNWR",0,2,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2017,"Fukui","WSG, DNWR",8,239,0.0334728033472803,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2017,"Minnow","DNWR",4,238,0.0168067226890756,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2018,"Burrow","DNWR",0,1,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2018,"Fukui","WSG, DNWR",25,336,0.0744047619047619,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2018,"Minnow","DNWR",4,315,0.0126984126984127,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2019,"Burrow","DNWR",0,3,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2019,"Fukui","WSG, DNWR",15,233,0.0643776824034335,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2019,"Minnow","DNWR",0,229,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2020,"Burrow","DNWR",0,4,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2020,"Fukui","WSG, DNWR",1,215,0.00465116279069767,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2020,"Minnow","DNWR",0,221,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2021,"Fukui","WSG",1,4,0.25,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2022,"Fukui","WSG",0,4,0,48.1738159958345,-123.137097931521
"Graveyard Spit West (Channel)",2023,"Fukui","WSG",0,4,0,48.1738159958345,-123.137097931521
"Grays Harbor NWR",2021,"Fukui","WDFW, WSG",21,101,0.207920792079208,46.9805029811134,-123.935278017031
"Grays Harbor NWR",2021,"Minnow","WDFW",11,100,0.11,46.9805029811134,-123.935278017031
"Grays Harbor NWR",2022,"Fukui","WSG",5,4,1.25,46.9805029811134,-123.935278017031
"Grays Harbor NWR",2023,"Fukui","WSG",5,4,1.25,46.9805029811134,-123.935278017031
"Great Peninsula Conservancy",2023,"Fukui","WDFW",0,30,0,47.4388352004444,-122.858762188889
"Great Peninsula Conservancy",2023,"Minnow","WDFW",0,30,0,47.4388352004444,-122.858762188889
"Great Peninsula Conservancy",2023,"Shrimp","WDFW",0,2,0,47.4388352004444,-122.858762188889
"Greenhead Slough",2022,"Fukui","WDFW",18,98,0.183673469387755,46.3725584788428,-123.949882510187
"Greenhead Slough",2022,"Minnow","WDFW",9,102,0.0882352941176471,46.3725584788428,-123.949882510187
"Greenhead Slough",2022,"Shrimp","WDFW",2,10,0.2,46.3725584788428,-123.949882510187
"Greenhead Slough",2023,"Fukui","WDFW",1,20,0.05,46.3725584788428,-123.949882510187
"Greenhead Slough",2023,"Hand","WDFW",1,1,1,46.3725584788428,-123.949882510187
"Greenhead Slough",2023,"Minnow","WDFW",0,20,0,46.3725584788428,-123.949882510187
"Greenhead Slough",2023,"Shrimp","WDFW",1,20,0.05,46.3725584788428,-123.949882510187
"Hama Hama",2024,"Fukui","WDFW",0,12,0,47.5451932394444,-123.039073021032
"Hama Hama",2024,"Minnow","WDFW",0,12,0,47.5451932394444,-123.039073021032
"Hama Hama",2024,"Shrimp","WDFW",0,14,0,47.5451932394444,-123.039073021032
"Hancock Lake",2018,"Fukui","WSG",0,4,0,48.1136673,-122.5964456
"Hancock Lake",2019,"Fukui","WSG",0,4,0,48.1136673,-122.5964456
"Hancock Lake",2020,"Fukui","WSG",0,3,0,48.1136673,-122.5964456
"Hancock Lake",2021,"Fukui","WSG",0,1,0,48.1136673,-122.5964456
"Hancock Lake",2022,"Fukui","WSG",0,3,0,48.1136673,-122.5964456
"Hancock Lake",2023,"Fukui","WSG",0,4,0,48.1136673,-122.5964456
"Harper",2017,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Harper",2018,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Harper",2019,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Harper",2020,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Harper",2021,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Harper",2022,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Harper",2023,"Fukui","WSG",0,4,0,47.51654,-122.51575
"Hat Island",2023,"Shrimp","Padilla",0,9,0,48.52113,-122.544411
"Henry Island - Eastern",2023,"Fukui","WDFW",0,5,0,48.5929406232222,-123.180505983333
"Henry Island - Eastern",2023,"Minnow","WDFW",0,6,0,48.5929406232222,-123.180505983333
"Henry Island - Eastern",2023,"Shrimp","WDFW",0,2,0,48.5929406232222,-123.180505983333
"Henry Island - Eastern Marsh",2019,"Fukui","WDFW",0,10,0,48.593131,-123.180685
"Henry Island - Eastern Marsh",2019,"Minnow","WDFW",0,10,0,48.593131,-123.180685
"Henry Island Preserve",2018,"Fukui","WDFW",0,44,0,48.5977233139777,-123.184056387327
"Henry Island Preserve",2018,"Minnow","WDFW",0,44,0,48.5977233139777,-123.184056387327
"Henry Island Preserve",2019,"Fukui","WDFW",0,90,0,48.5977233139777,-123.184056387327
"Henry Island Preserve",2019,"Minnow","WDFW",0,86,0,48.5977233139777,-123.184056387327
"Henry Island Preserve",2023,"Fukui","WDFW",0,27,0,48.5977233139777,-123.184056387327
"Henry Island Preserve",2023,"Minnow","WDFW",0,31,0,48.5977233139777,-123.184056387327
"Henry Island Preserve",2023,"Shrimp","WDFW",0,10,0,48.5977233139777,-123.184056387327
"Hungry Harbor",2021,"Fukui","WDFW",0,5,0,46.2576052,-123.8519688
"Hungry Harbor",2021,"Minnow","WDFW",0,5,0,46.2576052,-123.8519688
"Hunt Club Rd",2022,"Fukui","WDFW",26,30,0.866666666666667,46.8523509,-124.079419273333
"Hunt Club Rd",2022,"Minnow","WDFW",5,30,0.166666666666667,46.8523509,-124.079419273333
"Hwy 105 Slough",2021,"Fukui","WDFW",2,15,0.133333333333333,46.8607543157895,-124.090115942105
"Hwy 105 Slough",2021,"Minnow","WDFW",27,19,1.42105263157895,46.8607543157895,-124.090115942105
"Ilwaco Marina",2023,"Shrimp","WDFW",0,8,0,46.3052649275,-124.040391075
"Ilwaco Marsh",2021,"Fukui","WDFW",0,30,0,46.3005055782256,-124.045337597168
"Ilwaco Marsh",2021,"Minnow","WDFW",0,30,0,46.3005055782256,-124.045337597168
"Ilwaco Marsh",2022,"Fukui","WDFW",0,20,0,46.3005055782256,-124.045337597168
"Ilwaco Marsh",2022,"Minnow","WDFW",0,19,0,46.3005055782256,-124.045337597168
"Ilwaco Marsh",2023,"Fukui","WDFW",0,10,0,46.3005055782256,-124.045337597168
"Ilwaco Marsh",2023,"Minnow","WDFW",0,10,0,46.3005055782256,-124.045337597168
"Ilwaco Marsh",2023,"Shrimp","WDFW",0,10,0,46.3005055782256,-124.045337597168
"Indian Island Lagoon",2017,"Fukui","WSG",0,4,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2018,"Fukui","WSG",0,4,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2019,"Fukui","WSG",0,4,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2020,"Fukui","WSG",0,4,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2021,"Fukui","WSG",0,4,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2022,"Fukui","WSG",0,4,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2023,"Fukui","WDFW, WSG",0,12,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2023,"Minnow","WDFW",0,8,0,48.0253349480417,-122.71748991375
"Indian Island Lagoon",2023,"Shrimp","WDFW",0,3,0,48.0253349480417,-122.71748991375
"Interpretive Center",2022,"Fukui","Padilla",0,3,0,48.496452,-122.483923
"Interpretive Center",2022,"Minnow","Padilla",0,3,0,48.496452,-122.483923
"Irondale Beach Park",2020,"Fukui","WDFW",0,4,0,48.044868,-122.76752825
"Irondale Beach Park",2020,"Minnow","WDFW",0,3,0,48.044868,-122.76752825
"Iverson Spit",2015,"Fukui","WSG",0,2,0,48.21409,-122.446426
"Iverson Spit",2016,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2017,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2018,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2019,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2020,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2021,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2022,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Iverson Spit",2023,"Fukui","WSG",0,4,0,48.21409,-122.446426
"Jensen Point",2021,"Fukui","WDFW",3,16,0.1875,46.4602045,-123.99504479375
"Jensen Point",2021,"Minnow","WDFW",0,16,0,46.4602045,-123.99504479375
"Jimmycomelately Creek",2018,"Fukui","WSG",0,4,0,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2019,"Fukui","WSG",0,4,0,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2020,"Fukui","WSG",0,4,0,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2021,"Fukui","WDFW, WSG",3,98,0.0306122448979592,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2021,"Minnow","WDFW",0,110,0,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2021,"Pitfall","WDFW",0,4,0,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2021,"Shrimp","WDFW",1,10,0.1,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2022,"Fukui","WSG",0,4,0,48.0233680526886,-123.006433381335
"Jimmycomelately Creek",2023,"Fukui","WSG",0,4,0,48.0233680526886,-123.006433381335
"Joe Leary",2018,"Fukui","WDFW",0,10,0,48.5228313895406,-122.482452759531
"Joe Leary",2018,"Minnow","WDFW",0,10,0,48.5228313895406,-122.482452759531
"Joe Leary",2018,"Shrimp","WDFW",0,4,0,48.5228313895406,-122.482452759531
"Joe Leary",2020,"Fukui","WDFW, Padilla",0,64,0,48.5228313895406,-122.482452759531
"Joe Leary",2020,"Minnow","WDFW, Padilla",3,71,0.0422535211267606,48.5228313895406,-122.482452759531
"Johns River",2020,"Fukui","WDFW",18,27,0.666666666666667,46.9006928951311,-123.992688546385
"Johns River",2020,"Minnow","WDFW",26,31,0.838709677419355,46.9006928951311,-123.992688546385
"Johns River",2020,"Pitfall","WDFW",4,2,2,46.9006928951311,-123.992688546385
"Johns River",2020,"Shrimp","WDFW",20,4,5,46.9006928951311,-123.992688546385
"Johns River",2021,"Fukui","WDFW",32,8,4,46.9006928951311,-123.992688546385
"Johns River",2021,"Minnow","WDFW",23,8,2.875,46.9006928951311,-123.992688546385
"Johns River",2022,"Fukui","WDFW",71,26,2.73076923076923,46.9006928951311,-123.992688546385
"Johns River",2022,"Minnow","WDFW",101,55,1.83636363636364,46.9006928951311,-123.992688546385
"Johns River",2022,"Pitfall","WDFW",1,2,0.5,46.9006928951311,-123.992688546385
"Johns River",2022,"Shrimp","WDFW",974,141,6.90780141843972,46.9006928951311,-123.992688546385
"Johns River",2023,"Fukui","WDFW",70,96,0.729166666666667,46.9006928951311,-123.992688546385
"Johns River",2023,"Hand","WDFW",4,4,1,46.9006928951311,-123.992688546385
"Johns River",2023,"Minnow","WDFW",19,96,0.197916666666667,46.9006928951311,-123.992688546385
"Johns River",2023,"Shrimp","WDFW",1221,43,28.3953488372093,46.9006928951311,-123.992688546385
"Johns River ",2023,"Shrimp","WDFW",78,15,5.2,46.8919627806667,-123.980899106667
"Kaffee Slough",2021,"Fukui","WDFW",4,16,0.25,46.4729407395992,-123.965285429709
"Kaffee Slough",2021,"Minnow","WDFW",0,14,0,46.4729407395992,-123.965285429709
"Kaffee Slough",2023,"Fukui","WDFW",3,9,0.333333333333333,46.4729407395992,-123.965285429709
"Kaffee Slough",2023,"Minnow","WDFW",1,10,0.1,46.4729407395992,-123.965285429709
"Kaffee Slough",2023,"Shrimp","WDFW",34,30,1.13333333333333,46.4729407395992,-123.965285429709
"Kala Lagoon",2015,"Fukui","WSG",0,2,0,48.05785,-122.7698
"Kala Lagoon",2016,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Lagoon",2017,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Lagoon",2018,"Fukui","WSG",1,4,0.25,48.05785,-122.7698
"Kala Lagoon",2019,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Lagoon",2020,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Lagoon",2021,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Lagoon",2022,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Lagoon",2023,"Fukui","WSG",0,4,0,48.05785,-122.7698
"Kala Point",2018,"Fukui","WDFW",0,48,0,48.057001949,-122.769729990102
"Kala Point",2018,"Minnow","WDFW",0,48,0,48.057001949,-122.769729990102
"Kala Point",2018,"Shrimp","WDFW",0,4,0,48.057001949,-122.769729990102
